"n","candidate_levels_count","best_levels_json","probs_json","utility_q_babble","utility_q_base","utility_q_star","delta_base","delta_star","kept_q_babble","kept_q_base","kept_q_star","q_base_groups","q_star_groups","merges_alg2","num_edges_alg1_first","time_alg1_first_s","time_alg2_s","time_alg4_s","time_alg24_s"
12,10,"[0.5384615384615384, 0.5384615384615384, 0.38461538461538464, 0.23076923076923078]","[0.25, 0.25, 0.25, 0.25]",1.076923076923077,5.538461538461539,5.76923076923077,4.461538461538462,4.692307692307693,3,9,10,5,3,7,48,4.720801371149719e-05,0.00039087500772438943,0.000113290996523574,0.0005041660042479634
13,10,"[0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.42857142857142855]","[0.25, 0.25, 0.25, 0.25]",0.7142857142857142,5.0,6.071428571428571,4.285714285714286,5.357142857142857,2,7,10,10,4,3,67,5.358300404623151e-05,0.00026658299611881375,0.0004143750120420009,0.0006809580081608146
14,10,"[0.5333333333333333, 0.5333333333333333, 0.4666666666666667, 0.13333333333333333]","[0.25, 0.25, 0.25, 0.25]",1.7333333333333332,6.8,6.8,5.066666666666666,5.066666666666666,5,12,12,3,3,11,70,6.166700040921569e-05,0.0006739590025972575,5.245799547992647e-05,0.000726416998077184
15,10,"[0.5625, 0.5625, 0.5625, 0.25]","[0.25, 0.25, 0.25, 0.25]",1.5625,6.875,7.125,5.3125,5.5625,5,11,12,6,4,9,82,7.300000288523734e-05,0.0007186670118244365,0.00016916599997784942,0.0008878330118022859
16,10,"[0.6470588235294118, 0.6470588235294118, 0.5294117647058824, 0.5294117647058824]","[0.25, 0.25, 0.25, 0.25]",0.0,6.352941176470588,6.764705882352941,6.352941176470588,6.764705882352941,0,9,10,9,7,7,106,8.399999933317304e-05,0.0007217919919639826,0.000378249998902902,0.0011000419908668846
17,10,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5555555555555556]","[0.25, 0.25, 0.25, 0.25]",0.0,6.5,6.944444444444445,6.5,6.944444444444445,0,9,10,10,8,7,121,8.62079905346036e-05,0.0008020419918466359,0.0004538329958450049,0.0012558749876916409
18,10,"[0.7368421052631579, 0.631578947368421, 0.631578947368421, 0.5263157894736842]","[0.25, 0.25, 0.25, 0.25]",0.0,7.105263157894736,7.526315789473683,7.105263157894736,7.526315789473683,0,10,11,11,9,7,133,9.691699233371764e-05,0.0008916670049075037,0.0005705420044250786,0.0014622090093325824
19,10,"[0.55, 0.55, 0.55, 0.35]","[0.25, 0.25, 0.25, 0.25]",1.1,9.2,9.2,8.1,8.1,2,16,16,4,4,15,163,0.00010558300709817559,0.0016021250048652291,8.866599819157273e-05,0.0016907910030568019
20,10,"[0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.42857142857142855]","[0.25, 0.25, 0.25, 0.25]",1.0952380952380951,9.000000000000002,9.523809523809526,7.904761904761907,8.42857142857143,3,14,16,9,5,11,171,0.00011783299851231277,0.0015331670001614839,0.0004073330055689439,0.0019405000057304278
21,10,"[0.6363636363636364, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454]","[0.25, 0.25, 0.25, 0.25]",0.0,8.0,9.227272727272727,8.0,9.227272727272727,0,11,14,14,8,7,192,0.00012937501014675945,0.0012264170072739944,0.0010162499966099858,0.00224266700388398
22,10,"[0.6521739130434783, 0.5652173913043478, 0.5652173913043478, 0.5652173913043478]","[0.25, 0.25, 0.25, 0.25]",0.0,8.130434782608695,9.434782608695652,8.130434782608695,9.434782608695652,0,11,14,15,9,7,211,0.00014641699090134352,0.00134770899603609,0.00120058300672099,0.00254829200275708
23,10,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5416666666666666]","[0.25, 0.25, 0.25, 0.25]",0.0,9.208333333333334,9.625,9.208333333333334,9.625,0,13,14,12,10,11,229,0.00015337498916778713,0.0020868749998044223,0.0007793340046191588,0.002866209004423581
24,10,"[0.76, 0.76, 0.76, 0.56]","[0.25, 0.25, 0.25, 0.25]",0.0,7.799999999999998,7.799999999999998,7.799999999999998,7.799999999999998,0,10,10,15,15,9,233,0.00016429199604317546,0.0019149170111631975,0.0011494580103317276,0.003064375021494925
25,10,"[0.6538461538461539, 0.6538461538461539, 0.5384615384615384, 0.5384615384615384]","[0.25, 0.25, 0.25, 0.25]",0.0,9.961538461538462,10.76923076923077,9.961538461538462,10.76923076923077,0,14,16,14,10,11,267,0.0001767089997883886,0.0024027080071391538,0.001096708991099149,0.0034994169982383028
26,10,"[0.6666666666666666, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556]","[0.25, 0.25, 0.25, 0.25]",0.0,10.11111111111111,10.962962962962962,10.11111111111111,10.962962962962962,0,14,16,15,11,11,307,0.00019387499196454883,0.0026624590100254864,0.0012906250049127266,0.003953084014938213
27,10,"[0.8571428571428571, 0.5357142857142857, 0.5357142857142857, 0.5357142857142857]","[0.25, 0.25, 0.25, 0.25]",0.0,9.214285714285715,13.285714285714286,9.214285714285715,13.285714285714286,0,12,24,27,4,0,342,0.00021933398966211826,0.000291000003926456,0.004687374996137805,0.004978375000064261
28,10,"[0.6551724137931034, 0.6551724137931034, 0.6551724137931034, 0.5517241379310345]","[0.25, 0.25, 0.25, 0.25]",0.0,10.862068965517242,12.10344827586207,10.862068965517242,12.10344827586207,0,15,18,17,11,11,350,0.00022370798978954554,0.003150959004415199,0.0017489589954493567,0.004899917999864556
29,10,"[0.6666666666666666, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667]","[0.25, 0.25, 0.25, 0.25]",0.0,10.999999999999998,12.299999999999999,10.999999999999998,12.299999999999999,0,15,18,18,12,11,360,0.0002413749898551032,0.0033379999949829653,0.002002624998567626,0.005340624993550591
30,10,"[0.6451612903225806, 0.5483870967741935, 0.5483870967741935, 0.3548387096774194]","[0.25, 0.25, 0.25, 0.25]",2.161290322580645,12.870967741935484,13.225806451612904,10.70967741935484,11.06451612903226,6,19,20,13,11,17,361,0.00025925000954885036,0.00489858299260959,0.0010002089984482154,0.005898791991057806
31,10,"[0.65625, 0.65625, 0.65625, 0.5625]","[0.25, 0.25, 0.25, 0.25]",0.0,11.75,13.4375,11.75,13.4375,0,16,20,20,12,11,414,0.00031925000075716525,0.004160583004704677,0.002790833998005837,0.006951417002710514
32,10,"[0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.12121212121212122]","[0.25, 0.25, 0.25, 0.25]",1.9393939393939394,15.696969696969699,15.696969696969699,13.75757575757576,13.75757575757576,4,28,28,5,5,27,442,0.000320875013130717,0.00789116600935813,0.000188209000043571,0.008079375009401701
33,10,"[0.6470588235294118, 0.6470588235294118, 0.5588235294117647, 0.5588235294117647]","[0.25, 0.25, 0.25, 0.25]",0.0,12.499999999999996,14.558823529411763,12.499999999999996,14.558823529411763,0,17,22,22,12,11,480,0.000304583998513408,0.004362959007266909,0.0033046659955289215,0.00766762500279583
34,10,"[0.6571428571428571, 0.5428571428571428, 0.5428571428571428, 0.34285714285714286]","[0.25, 0.25, 0.25, 0.25]",1.657142857142857,14.771428571428569,14.771428571428569,13.114285714285712,13.114285714285712,6,22,22,13,13,21,469,0.00032679100695531815,0.007420583002385683,0.000991875000181608,0.008412458002567291
35,10,"[0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.1388888888888889]","[0.25, 0.25, 0.25, 0.25]",2.611111111111111,17.083333333333332,17.083333333333332,14.472222222222221,14.472222222222221,7,30,30,6,6,29,472,0.0003617920010583475,0.009772624995093793,0.0002538330008974299,0.010026457995991223
36,10,"[0.7567567567567568, 0.7567567567567568, 0.7567567567567568, 0.5405405405405406]","[0.25, 0.25, 0.25, 0.25]",0.0,12.324324324324323,12.324324324324323,12.324324324324323,12.324324324324323,0,16,16,21,21,15,530,0.0003623340016929433,0.006695416988804936,0.0029022499948041514,0.009597666983609088
37,10,"[0.6578947368421053, 0.6578947368421053, 0.6578947368421053, 0.34210526315789475]","[0.25, 0.25, 0.25, 0.25]",1.5789473684210527,16.10526315789474,16.10526315789474,14.526315789473687,14.526315789473687,6,24,24,14,14,23,584,0.0004175000067334622,0.01029408400063403,0.0012588339886860922,0.011552917989320122
38,10,"[0.6666666666666666, 0.5641025641025641, 0.5641025641025641, 0.5641025641025641]","[0.25, 0.25, 0.25, 0.25]",0.0,14.61538461538461,16.307692307692303,14.61538461538461,16.307692307692303,0,20,24,23,15,15,647,0.00043208299030084163,0.008285332995001227,0.0038733749970560893,0.012158707992057316
39,10,"[0.55, 0.55, 0.55, 0.35]","[0.25, 0.25, 0.25, 0.25]",3.3249999999999997,18.974999999999998,19.124999999999996,15.649999999999999,15.799999999999997,7,33,34,8,6,31,674,0.00042095901153516024,0.012623957998584956,0.00047362499753944576,0.013097582996124402
40,10,"[0.6585365853658537, 0.6585365853658537, 0.6585365853658537, 0.5609756097560976]","[0.25, 0.25, 0.25, 0.25]",0.0,15.365853658536587,17.439024390243905,15.365853658536587,17.439024390243905,0,21,26,25,15,15,708,0.0004460829950403422,0.008390707997023128,0.004784583012224175,0.013175291009247303
41,10,"[0.5476190476190477, 0.5476190476190477, 0.5476190476190477, 0.23809523809523808]","[0.25, 0.25, 0.25, 0.25]",2.8571428571428577,19.190476190476183,20.142857142857135,16.333333333333325,17.285714285714278,7,31,36,16,6,25,708,0.0004624169960152358,0.012867292010923848,0.0019320830033393577,0.014799375014263205
42,10,"[0.6511627906976745, 0.6511627906976745, 0.5581395348837209, 0.3488372093023256]","[0.25, 0.25, 0.25, 0.25]",2.3255813953488373,18.209302325581387,18.55813953488371,15.883720930232549,16.232558139534873,4,27,28,17,15,25,765,0.0004837080050492659,0.01355058400076814,0.0020512909977696836,0.015601874998537824
43,10,"[0.6590909090909091, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454]","[0.25, 0.25, 0.25, 0.25]",0.0,17.18181818181818,18.772727272727273,17.18181818181818,18.772727272727273,0,24,28,24,16,19,817,0.0005105409945826977,0.011686292011290789,0.0045815000048605725,0.01626779201615136
44,10,"[0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.24444444444444444]","[0.25, 0.25, 0.25, 0.25]",3.155555555555555,20.533333333333314,21.53333333333331,17.37777777777776,18.377777777777755,5,33,38,17,7,27,868,0.0005284170038066804,0.01605266600381583,0.002323000007891096,0.018375666011706926
45,10,"[0.7608695652173914, 0.7608695652173914, 0.7608695652173914, 0.6521739130434783]","[0.25, 0.25, 0.25, 0.25]",0.0,15.434782608695654,15.434782608695654,15.434782608695654,15.434782608695654,0,20,20,26,26,19,926,0.0005534159863600507,0.012893999999505468,0.0051907919987570494,0.018084791998262517
46,10,"[0.5531914893617021, 0.5531914893617021, 0.5531914893617021, 0.1276595744680851]","[0.25, 0.25, 0.25, 0.25]",4.276595744680851,22.553191489361705,22.553191489361705,18.276595744680854,18.276595744680854,9,40,40,7,7,39,873,0.0005833750037709251,0.02132754199556075,0.0003794999938691035,0.021707041989429854
47,10,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5625]","[0.25, 0.25, 0.25, 0.25]",0.0,18.229166666666668,20.3125,18.229166666666668,20.3125,0,25,30,28,18,19,1031,0.0006344170105876401,0.01467529199726414,0.0068401250027818605,0.021515417000046
48,10,"[0.6530612244897959, 0.6530612244897959, 0.6530612244897959, 0.5510204081632653]","[0.25, 0.25, 0.25, 0.25]",0.0,18.83673469387755,21.224489795918366,18.83673469387755,21.224489795918366,0,26,32,29,17,19,1030,0.0006307500007096678,0.014713917000335641,0.007444167000357993,0.022158084000693634
49,10,"[0.66, 0.56, 0.56, 0.56]","[0.25, 0.25, 0.25, 0.25]",0.0,18.979999999999997,21.439999999999998,18.979999999999997,21.439999999999998,0,26,32,30,18,19,1131,0.0006566669908352196,0.015682708006352186,0.008114917000057176,0.023797625006409362
50,10,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5490196078431373]","[0.25, 0.25, 0.25, 0.25]",0.0,20.03921568627451,21.647058823529406,20.03921568627451,21.647058823529406,0,28,32,27,19,23,1115,0.0006803750002291054,0.018987000003107823,0.006463040990638547,0.02545004099374637
51,10,"[0.6538461538461539, 0.5576923076923077, 0.5576923076923077, 0.5576923076923077]","[0.25, 0.25, 0.25, 0.25]",0.0,19.73076923076923,22.557692307692307,19.73076923076923,22.557692307692307,0,27,34,32,18,19,1199,0.000711583998054266,0.017008082999382168,0.009634749992983416,0.026642832992365584
52,10,"[0.660377358490566, 0.660377358490566, 0.5471698113207547, 0.4528301886792453]","[0.25, 0.25, 0.25, 0.25]",4.471698113207547,22.41509433962264,22.77358490566038,17.943396226415093,18.30188679245283,9,33,34,21,19,31,1101,0.0007443329959642142,0.024762834000284784,0.0036478749971138313,0.028410708997398615
53,10,"[0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.24074074074074073]","[0.25, 0.25, 0.25, 0.25]",3.6481481481481484,24.814814814814813,25.98148148148148,21.166666666666664,22.333333333333332,10,40,46,20,8,33,1193,0.0007715829997323453,0.02753362500516232,0.0036881249980069697,0.03122175000316929
54,10,"[0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.12727272727272726]","[0.25, 0.25, 0.25, 0.25]",4.254545454545455,26.49090909090909,26.618181818181817,22.236363636363635,22.363636363636363,10,47,48,9,7,45,1169,0.0009489999938523397,0.03397770800802391,0.0007437919994117692,0.03472150000743568
55,10,"[0.6607142857142857, 0.5535714285714286, 0.5535714285714286, 0.3392857142857143]","[0.25, 0.25, 0.25, 0.25]",4.678571428571428,24.107142857142858,24.107142857142858,19.42857142857143,19.42857142857143,12,36,36,20,20,35,1166,0.000832709003589116,0.030799000000115484,0.0032031250011641532,0.03400212500127964
56,10,"[0.7719298245614035, 0.7719298245614035, 0.7719298245614035, 0.5614035087719298]","[0.25, 0.25, 0.25, 0.25]",0.0,18.736842105263154,18.736842105263154,18.736842105263154,18.736842105263154,0,24,24,33,33,23,1276,0.0008926669979700819,0.024485375004587695,0.009907249987008981,0.034392624991596676
57,10,"[0.6551724137931034, 0.6551724137931034, 0.5517241379310345, 0.5517241379310345]","[0.25, 0.25, 0.25, 0.25]",0.0,22.448275862068964,25.224137931034484,22.448275862068964,25.224137931034484,0,31,38,34,20,23,1443,0.0008955829980550334,0.025369374998263083,0.011658041999908164,0.03702741699817125
58,10,"[0.6610169491525424, 0.559322033898305, 0.559322033898305, 0.559322033898305]","[0.25, 0.25, 0.25, 0.25]",0.0,22.593220338983052,25.4406779661017,22.593220338983052,25.4406779661017,0,31,38,35,21,23,1497,0.0009786670125322416,0.027462917001685128,0.013079583004582673,0.0405425000062678
59,10,"[0.7666666666666667, 0.7666666666666667, 0.7666666666666667, 0.55]","[0.25, 0.25, 0.25, 0.25]",0.0,20.15,20.15,20.15,20.15,0,26,26,34,34,25,1482,0.0009517500002402812,0.029068291012663394,0.010805958998389542,0.039874250011052936
60,10,"[0.6557377049180327, 0.6557377049180327, 0.6557377049180327, 0.5573770491803278]","[0.25, 0.25, 0.25, 0.25]",0.0,23.344262295081965,26.557377049180324,23.344262295081965,26.557377049180324,0,32,40,37,21,23,1608,0.0010752079979283735,0.028657458009547554,0.014412666991120204,0.04307012500066776
61,10,"[0.6612903225806451, 0.6612903225806451, 0.5483870967741935, 0.5483870967741935]","[0.25, 0.25, 0.25, 0.25]",0.0,24.403225806451612,26.774193548387093,24.403225806451612,26.774193548387093,0,34,40,34,22,27,1631,0.0010611250036163256,0.033541249998961575,0.012241125004948117,0.04578237500390969
62,10,"[0.7619047619047619, 0.7619047619047619, 0.7619047619047619, 0.5555555555555556]","[0.25, 0.25, 0.25, 0.25]",0.0,21.00000000000001,21.555555555555568,21.00000000000001,21.555555555555568,0,27,28,37,35,25,1619,0.0014700829924549907,0.032653791990014724,0.013969457999337465,0.04662324998935219
63,10,"[0.65625, 0.65625, 0.546875, 0.546875]","[0.25, 0.25, 0.25, 0.25]",0.0,25.15625,27.890625,25.15625,27.890625,0,35,42,36,22,27,1761,0.0010888749966397882,0.034962249992531724,0.013893250012188219,0.04885550000471994
64,10,"[0.6615384615384615, 0.6615384615384615, 0.5538461538461539, 0.5538461538461539]","[0.25, 0.25, 0.25, 0.25]",0.0,25.307692307692324,28.107692307692314,25.307692307692324,28.107692307692314,0,35,42,37,23,27,1814,0.0012333339982433245,0.03942612500395626,0.015349124994827434,0.05477524999878369
65,10,"[0.6666666666666666, 0.5606060606060606, 0.5606060606060606, 0.4393939393939394]","[0.25, 0.25, 0.25, 0.25]",3.4696969696969697,25.909090909090907,28.318181818181817,22.439393939393938,24.848484848484848,9,36,42,36,24,29,1794,0.0012316669890424237,0.03961104199697729,0.01411170800565742,0.05372275000263471
66,10,"[0.5522388059701493, 0.5522388059701493, 0.5522388059701493, 0.11940298507462686]","[0.25, 0.25, 0.25, 0.25]",5.880597014925373,32.462686567164184,32.462686567164184,26.582089552238813,26.582089552238813,10,58,58,9,9,57,1873,0.0017282920016441494,0.06336441599705722,0.0007695000094827265,0.06413391600653995
67,10,"[0.7647058823529411, 0.7647058823529411, 0.7647058823529411, 0.6617647058823529]","[0.25, 0.25, 0.25, 0.25]",0.0,22.60294117647059,23.161764705882355,22.60294117647059,23.161764705882355,0,29,30,40,38,27,2049,0.0013073750014882535,0.04093645799730439,0.01733349999994971,0.058269957997254096
68,10,"[0.5507246376811594, 0.5507246376811594, 0.5507246376811594, 0.11594202898550725]","[0.25, 0.25, 0.25, 0.25]",5.246376811594203,33.47826086956522,33.47826086956522,28.231884057971016,28.231884057971016,13,60,60,9,9,59,1916,0.0013806670031044632,0.07292424999468494,0.0008362500084331259,0.07376050000311807
69,10,"[0.6571428571428571, 0.6571428571428571, 0.6571428571428571, 0.5571428571428572]","[0.25, 0.25, 0.25, 0.25]",0.0,26.95714285714287,30.557142857142864,26.95714285714287,30.557142857142864,0,37,46,42,24,27,2209,0.0018410420016152784,0.043317333998857066,0.020818916003918275,0.06413625000277534
70,10,"[0.6619718309859155, 0.6619718309859155, 0.6619718309859155, 0.5492957746478874]","[0.25, 0.25, 0.25, 0.25]",0.0,28.014084507042256,30.774647887323944,28.014084507042256,30.774647887323944,0,39,46,39,25,31,2247,0.0015307500143535435,0.052198082994436845,0.018816083000274375,0.07101416599471122
71,10,"[0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.2361111111111111]","[0.25, 0.25, 0.25, 0.25]",8.73611111111111,33.37499999999999,34.87499999999999,24.638888888888882,26.138888888888882,19,54,62,26,10,45,1949,0.0014520419936161488,0.06730920801055618,0.007955500012030825,0.075264708022587
72,10,"[0.7671232876712328, 0.7671232876712328, 0.7671232876712328, 0.6575342465753424]","[0.25, 0.25, 0.25, 0.25]",0.0,24.767123287671232,24.767123287671232,24.767123287671232,24.767123287671232,0,32,32,41,41,31,2452,0.001589332998264581,0.054739083017921075,0.018702916975598782,0.07344199999351986
73,10,"[0.6621621621621622, 0.6621621621621622, 0.5540540540540541, 0.5540540540540541]","[0.25, 0.25, 0.25, 0.25]",0.0,28.91891891891892,32.10810810810811,28.91891891891892,32.10810810810811,0,40,48,42,26,31,2365,0.0017885830020532012,0.05390845800866373,0.02169145899824798,0.07559991700691171
74,10,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.56]","[0.25, 0.25, 0.25, 0.25]",0.0,29.066666666666666,32.32,29.066666666666666,32.32,0,40,48,43,27,31,2489,0.0020566250022966415,0.05752500001108274,0.022794042015448213,0.08031904202653095
75,10,"[0.5526315789473685, 0.5526315789473685, 0.5526315789473685, 0.34210526315789475]","[0.25, 0.25, 0.25, 0.25]",7.0394736842105265,36.776315789473685,36.9078947368421,29.736842105263158,29.868421052631575,14,65,66,12,10,63,2426,0.0015682909870520234,0.09071320801740512,0.0015845420130062848,0.09229775003041141
76,10,"[0.6623376623376623, 0.6623376623376623, 0.5584415584415584, 0.5584415584415584]","[0.25, 0.25, 0.25, 0.25]",0.0,29.81818181818182,33.44155844155844,29.81818181818182,33.44155844155844,0,41,50,45,27,31,2574,0.0016477500030305237,0.06325308300438337,0.02659208298427984,0.08984516598866321
77,10,"[0.6666666666666666, 0.6666666666666666, 0.5512820512820513, 0.5512820512820513]","[0.25, 0.25, 0.25, 0.25]",0.0,30.871794871794883,33.65384615384616,30.871794871794883,33.65384615384616,0,43,50,42,28,35,2626,0.002144333004252985,0.07231583399698138,0.02227675000904128,0.09459258400602266
78,10,"[0.6582278481012658, 0.6582278481012658, 0.5569620253164557, 0.5569620253164557]","[0.25, 0.25, 0.25, 0.25]",0.0,30.569620253164558,34.55696202531645,30.569620253164558,34.55696202531645,0,42,52,47,27,31,2723,0.002287167008034885,0.06388424997567199,0.029046916984952986,0.09293116696062498
79,10,"[0.55, 0.55, 0.55, 0.3375]","[0.25, 0.25, 0.25, 0.25]",9.7875,38.8125,38.9375,29.025,29.15,17,69,70,12,10,67,2716,0.002543374983360991,0.11044050002237782,0.0016426660004071891,0.11208316602278501
80,10,"[0.6666666666666666, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556]","[0.25, 0.25, 0.25, 0.25]",0.0,31.77777777777778,34.98765432098766,31.77777777777778,34.98765432098766,0,44,52,45,29,35,2938,0.0022945829841773957,0.07862966597895138,0.027142750011989847,0.10577241599094123
81,10,"[0.6585365853658537, 0.6585365853658537, 0.6585365853658537, 0.5487804878048781]","[0.25, 0.25, 0.25, 0.25]",0.0,32.37804878048781,35.89024390243903,32.37804878048781,35.89024390243903,0,45,54,46,28,35,3014,0.002151749999029562,0.07934433297486976,0.02865983298397623,0.10800416595884599
82,10,"[0.6626506024096386, 0.6626506024096386, 0.5542168674698795, 0.3373493975903614]","[0.25, 0.25, 0.25, 0.25]",5.975903614457831,36.10843373493976,36.10843373493976,30.132530120481928,30.132530120481928,13,54,54,29,29,53,2676,0.002037166996160522,0.10666562500409782,0.009206500020809472,0.11587212502490729
83,10,"[0.7738095238095238, 0.7738095238095238, 0.6666666666666666, 0.5595238095238095]","[0.25, 0.25, 0.25, 0.25]",0.0,28.071428571428573,28.071428571428573,28.071428571428573,28.071428571428573,0,36,36,48,48,35,2843,0.0023082080006133765,0.07962245898670517,0.028416500019375235,0.1080389590060804
84,10,"[0.5529411764705883, 0.5529411764705883, 0.5529411764705883, 0.2235294117647059]","[0.25, 0.25, 0.25, 0.25]",5.011764705882353,39.764705882352985,41.352941176470644,34.75294117647063,36.341176470588294,13,65,74,29,11,55,3082,0.0020678340224549174,0.11775495900656097,0.010913875012192875,0.12866883401875384
85,10,"[0.6627906976744186, 0.6627906976744186, 0.6627906976744186, 0.5581395348837209]","[0.25, 0.25, 0.25, 0.25]",0.0,33.43023255813953,37.44186046511628,33.43023255813953,37.44186046511628,0,46,56,50,30,35,3381,0.0024672500148881227,0.08744412497617304,0.03508629201678559,0.12253041699295864
86,10,"[0.7701149425287356, 0.7701149425287356, 0.6666666666666666, 0.5517241379310345]","[0.25, 0.25, 0.25, 0.25]",0.0,29.48275862068965,29.48275862068965,29.48275862068965,29.48275862068965,0,38,38,49,49,37,3024,0.0026567080058157444,0.09784241698798724,0.0320504579867702,0.12989287497475743
87,10,"[0.5568181818181818, 0.5568181818181818, 0.5568181818181818, 0.3409090909090909]","[0.25, 0.25, 0.25, 0.25]",12.65909090909091,42.75,42.75,30.09090909090909,30.09090909090909,27,76,76,12,12,75,3216,0.0022350420185830444,0.14420879201497883,0.001589749997947365,0.1457985420129262
