"n","candidate_levels_count","best_levels_json","probs_json","utility_q_babble","utility_q_base","utility_q_star","delta_base","delta_star","kept_q_babble","kept_q_base","kept_q_star","q_base_groups","q_star_groups","merges_alg2","num_edges_alg1_first","time_alg1_first_s","time_alg2_s","time_alg4_s","time_alg24_s"
88,10,"[0.550561797752809, 0.550561797752809, 0.550561797752809, 0.2247191011235955]","[0.25, 0.25, 0.25, 0.25]",10.337078651685392,41.64044943820225,43.38202247191012,31.30337078651686,33.04494382022473,25,68,78,31,11,57,3025,0.0023097500088624656,0.13106987500214018,0.013195209001423791,0.14426508400356397
89,10,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5555555555555556]","[0.25, 0.25, 0.25, 0.25]",0.0,35.3888888888889,38.988888888888894,35.3888888888889,38.988888888888894,0,49,58,50,32,39,3650,0.00242175001767464,0.10584254199056886,0.03638566599693149,0.14222820798750035
90,10,"[0.5494505494505495, 0.5494505494505495, 0.5494505494505495, 0.12087912087912088]","[0.25, 0.25, 0.25, 0.25]",10.043956043956042,44.27472527472533,44.39560439560445,34.23076923076928,34.35164835164841,21,79,80,13,11,77,3274,0.002970375004224479,0.1651247089903336,0.00214920801226981,0.1672739170026034
91,10,"[0.6630434782608695, 0.6630434782608695, 0.5543478260869565, 0.5543478260869565]","[0.25, 0.25, 0.25, 0.25]",0.0,36.141304347826086,40.10869565217391,36.141304347826086,40.10869565217391,0,50,60,52,32,39,3678,0.0024738330102991313,0.11293758300598711,0.04177416698075831,0.15471174998674542
92,10,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5591397849462365]","[0.25, 0.25, 0.25, 0.25]",0.0,36.29032258064515,40.32258064516128,36.29032258064515,40.32258064516128,0,50,60,53,33,39,3844,0.0027112500101793557,0.11650333300349303,0.043056624999735504,0.15955995800322853
93,10,"[0.6595744680851063, 0.6595744680851063, 0.6595744680851063, 0.5531914893617021]","[0.25, 0.25, 0.25, 0.25]",0.0,31.840425531914896,41.22340425531917,31.840425531914896,41.22340425531917,0,41,62,74,32,19,4003,0.0027971249946858734,0.06418083401513286,0.09443862500484101,0.15861945901997387
94,10,"[0.6631578947368421, 0.6631578947368421, 0.5578947368421052, 0.5578947368421052]","[0.25, 0.25, 0.25, 0.25]",0.0,37.04210526315789,41.44210526315789,37.04210526315789,41.44210526315789,0,51,62,55,33,39,3951,0.0026514999917708337,0.1200005830032751,0.047649625019403175,0.16765020802267827
95,10,"[0.5520833333333334, 0.5520833333333334, 0.5520833333333334, 0.11458333333333333]","[0.25, 0.25, 0.25, 0.25]",8.375000000000002,46.8125,46.8125,38.4375,38.4375,21,84,84,12,12,83,3667,0.002820124995196238,0.2044192920147907,0.0017964580038096756,0.20621575001860037
96,10,"[0.6597938144329897, 0.5567010309278351, 0.5567010309278351, 0.5567010309278351]","[0.25, 0.25, 0.25, 0.25]",0.0,37.79381443298972,42.55670103092787,37.79381443298972,42.55670103092787,0,52,64,57,33,39,4256,0.0029626250034198165,0.1287852919776924,0.052302459022030234,0.18108775099972263
97,10,"[0.6632653061224489, 0.6632653061224489, 0.5510204081632653, 0.5510204081632653]","[0.25, 0.25, 0.25, 0.25]",0.0,38.8469387755102,42.77551020408163,38.8469387755102,42.77551020408163,0,54,64,54,34,43,4165,0.002785582997603342,0.1389517500065267,0.046452959009911865,0.18540470901643857
98,10,"[0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.23232323232323232]","[0.25, 0.25, 0.25, 0.25]",12.727272727272728,46.212121212121225,48.212121212121204,33.4848484848485,35.48484848484848,27,75,86,35,13,63,3937,0.0029045839910395443,0.1898125000006985,0.019411709014093503,0.209224209014792
99,10,"[0.55, 0.55, 0.55, 0.34]","[0.25, 0.25, 0.25, 0.25]",7.940000000000001,43.55,48.839999999999996,35.61,40.89999999999999,18,65,88,58,12,41,4318,0.0035012500011362135,0.1771420000004582,0.07037341699469835,0.24751541699515656
100,10,"[0.5544554455445545, 0.5544554455445545, 0.5544554455445545, 0.22772277227722773]","[0.25, 0.25, 0.25, 0.25]",8.653465346534654,47.267326732673276,49.22772277227723,38.61386138613862,40.57425742574258,18,77,88,35,13,65,4296,0.003530499991029501,0.22186808398691937,0.02068600000347942,0.2425540839903988
101,10,"[0.6666666666666666, 0.5588235294117647, 0.5588235294117647, 0.5588235294117647]","[0.25, 0.25, 0.25, 0.25]",0.0,39.90196078431374,44.32352941176471,39.90196078431374,44.32352941176471,0,55,66,58,36,43,4636,0.0032519170199520886,0.15559629202471115,0.05676983401644975,0.2123661260411609
102,10,"[0.6601941747572816, 0.5533980582524272, 0.5533980582524272, 0.5533980582524272]","[0.25, 0.25, 0.25, 0.25]",0.0,40.50485436893203,45.22330097087378,40.50485436893203,45.22330097087378,0,56,68,59,35,43,4836,0.003523791005136445,0.18049079200136475,0.06586433300981298,0.24635512501117773
103,10,"[0.6634615384615384, 0.6634615384615384, 0.5576923076923077, 0.5576923076923077]","[0.25, 0.25, 0.25, 0.25]",0.0,40.65384615384616,45.4423076923077,40.65384615384616,45.4423076923077,0,56,68,60,36,43,4739,0.0037130409909877926,0.17890508301206864,0.06801491600344889,0.24691999901551753
104,10,"[0.6666666666666666, 0.6666666666666666, 0.5523809523809524, 0.5523809523809524]","[0.25, 0.25, 0.25, 0.25]",0.0,41.70476190476193,45.65714285714289,41.70476190476193,45.65714285714289,0,58,68,57,37,47,4814,0.0042540830036159605,0.1911380410019774,0.058916250010952353,0.25005429101292975
105,10,"[0.660377358490566, 0.660377358490566, 0.5566037735849056, 0.33962264150943394]","[0.25, 0.25, 0.25, 0.25]",8.537735849056604,46.216981132075475,46.55660377358491,37.67924528301887,38.01886792452831,24,69,70,38,36,67,4389,0.003882958000758663,0.25985745899379253,0.023364666005363688,0.2832221249991562
106,10,"[0.6635514018691588, 0.6635514018691588, 0.5514018691588785, 0.5514018691588785]","[0.25, 0.25, 0.25, 0.25]",0.0,42.45794392523365,46.77570093457945,42.45794392523365,46.77570093457945,0,59,70,59,37,47,5029,0.003996332990936935,0.2082421249942854,0.06531666699447669,0.2735587919887621
107,10,"[0.6666666666666666, 0.6666666666666666, 0.5555555555555556, 0.5555555555555556]","[0.25, 0.25, 0.25, 0.25]",0.0,42.61111111111113,46.99074074074075,42.61111111111113,46.99074074074075,0,59,70,60,38,47,5123,0.004505624994635582,0.20491558298817836,0.06977162501425482,0.2746872080024332
108,10,"[0.7706422018348624, 0.6605504587155964, 0.6605504587155964, 0.5504587155963303]","[0.25, 0.25, 0.25, 0.25]",0.0,37.21100917431193,37.21100917431193,37.21100917431193,37.21100917431193,0,48,48,61,61,47,4854,0.004262000002199784,0.20396154097397812,0.06661941698985174,0.27058095796382986
109,10,"[0.6636363636363637, 0.6636363636363637, 0.6636363636363637, 0.5545454545454546]","[0.25, 0.25, 0.25, 0.25]",0.0,43.36363636363635,48.1090909090909,43.36363636363635,48.1090909090909,0,60,72,62,38,47,5414,0.004401917016366497,0.2151020829915069,0.0737754580040928,0.2888775409955997
110,10,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5585585585585585]","[0.25, 0.25, 0.25, 0.25]",0.0,43.51351351351351,48.32432432432432,43.51351351351351,48.32432432432432,0,60,72,63,39,47,5657,0.004175832989858463,0.217193042015424,0.07626433297991753,0.2934573749953415
111,10,"[0.6607142857142857, 0.6607142857142857, 0.6607142857142857, 0.5535714285714286]","[0.25, 0.25, 0.25, 0.25]",0.0,44.11607142857143,49.223214285714285,44.11607142857143,49.223214285714285,0,61,74,64,38,47,5756,0.004159665986662731,0.2290302919864189,0.08413279199157842,0.3131630839779973
112,10,"[0.5575221238938053, 0.5575221238938053, 0.5575221238938053, 0.336283185840708]","[0.25, 0.25, 0.25, 0.25]",9.743362831858406,49.442477876106196,55.07079646017699,39.69911504424779,45.32743362831859,24,74,98,63,15,49,5420,0.004089791007572785,0.2343319580249954,0.08030183298978955,0.31463379101478495
113,10,"[0.5526315789473685, 0.5526315789473685, 0.5526315789473685, 0.3333333333333333]","[0.25, 0.25, 0.25, 0.25]",16.140350877192983,55.701754385964904,55.701754385964904,39.56140350877192,39.56140350877192,28,100,100,14,14,99,5481,0.004250625002896413,0.3599577919812873,0.0028335420065559447,0.36279133398784325
114,10,"[0.6608695652173913, 0.5565217391304348, 0.5565217391304348, 0.5565217391304348]","[0.25, 0.25, 0.25, 0.25]",0.0,45.01739130434783,50.55652173913044,45.01739130434783,50.55652173913044,0,62,76,67,39,47,5937,0.005495541990967467,0.23898991700843908,0.09029858399298973,0.3292885010014288
115,10,"[0.5517241379310345, 0.5517241379310345, 0.5517241379310345, 0.1206896551724138]","[0.25, 0.25, 0.25, 0.25]",11.103448275862073,56.5948275862069,56.71551724137931,45.491379310344826,45.61206896551724,22,101,102,16,14,99,5554,0.003951333987060934,0.35226945899194106,0.0037281250115484,0.35599758400348946
116,10,"[0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.5555555555555556]","[0.25, 0.25, 0.25, 0.25]",0.0,39.666666666666686,40.22222222222224,39.666666666666686,40.22222222222224,0,51,52,67,65,49,5650,0.004069499991601333,0.2320747920020949,0.07852433397783898,0.3105991259799339
117,10,"[0.6610169491525424, 0.6610169491525424, 0.5508474576271186, 0.5508474576271186]","[0.25, 0.25, 0.25, 0.25]",0.0,46.82203389830508,51.889830508474574,46.82203389830508,51.889830508474574,0,65,78,66,40,51,6107,0.004062207997776568,0.2400773749977816,0.08184116700431332,0.3219185420020949
118,10,"[0.5546218487394958, 0.5546218487394958, 0.5546218487394958, 0.33613445378151263]","[0.25, 0.25, 0.25, 0.25]",15.058823529411761,58.11764705882358,58.11764705882358,43.05882352941182,43.05882352941182,27,104,104,15,15,103,6057,0.004317999992053956,0.3814019169949461,0.003198499995050952,0.38460041698999703
119,10,"[0.5583333333333333, 0.5583333333333333, 0.5583333333333333, 0.225]","[0.25, 0.25, 0.25, 0.25]",15.341666666666661,56.34999999999999,58.499999999999986,41.008333333333326,43.158333333333324,30,92,104,40,16,79,5810,0.004240500013111159,0.35345279099419713,0.028845749999163672,0.3822985409933608
120,10,"[0.5537190082644629, 0.5537190082644629, 0.5537190082644629, 0.11570247933884298]","[0.25, 0.25, 0.25, 0.25]",17.487603305785125,59.132231404958674,59.132231404958674,41.644628099173545,41.644628099173545,31,106,106,15,15,105,5783,0.0047416250163223594,0.43572845798917115,0.0036579160077963024,0.43938637399696745
121,10,"[0.7704918032786885, 0.7704918032786885, 0.7704918032786885, 0.6639344262295082]","[0.25, 0.25, 0.25, 0.25]",0.0,41.27049180327869,41.82786885245901,41.27049180327869,41.82786885245901,0,53,54,70,68,51,6636,0.006300916022155434,0.3130542920262087,0.09817166699212976,0.41122595901833847
122,10,"[0.6666666666666666, 0.6666666666666666, 0.5528455284552846, 0.5528455284552846]","[0.25, 0.25, 0.25, 0.25]",0.0,48.926829268292664,53.65853658536584,48.926829268292664,53.65853658536584,0,68,80,67,43,55,6627,0.004503709002165124,0.2831667909922544,0.08655195901519619,0.3697187500074506
123,10,"[0.7741935483870968, 0.7741935483870968, 0.7741935483870968, 0.5564516129032258]","[0.25, 0.25, 0.25, 0.25]",0.0,42.0241935483871,42.0241935483871,42.0241935483871,42.0241935483871,0,54,54,70,70,53,6493,0.004479833005461842,0.28568558298866265,0.08819350000703707,0.3738790829956997
124,10,"[0.552, 0.552, 0.552, 0.12]","[0.25, 0.25, 0.25, 0.25]",16.151999999999997,61.040000000000006,61.160000000000004,44.888000000000005,45.00800000000001,33,109,110,17,15,107,6144,0.0050080830114893615,0.43781233398476616,0.004434542002854869,0.442246875987621
125,10,"[0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.11904761904761904]","[0.25, 0.25, 0.25, 0.25]",16.25396825396826,61.54761904761905,61.54761904761905,45.29365079365079,45.29365079365079,31,110,110,16,16,109,6243,0.0047010830021463335,0.4521487499878276,0.003677957982290536,0.45582670797011815
126,10,"[0.6614173228346457, 0.6614173228346457, 0.5511811023622047, 0.5511811023622047]","[0.25, 0.25, 0.25, 0.25]",0.0,50.43307086614172,55.88976377952755,50.43307086614172,55.88976377952755,0,70,84,71,43,55,7143,0.004961457976605743,0.3132940420182422,0.10117745900060982,0.414471501018852
127,10,"[0.5546875, 0.5546875, 0.5546875, 0.1171875]","[0.25, 0.25, 0.25, 0.25]",15.84375,62.5625,62.5625,46.71875,46.71875,30,112,112,16,16,111,6559,0.0051195409905631095,0.4893643750110641,0.0037417499988805503,0.49310612500994466
128,10,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5581395348837209]","[0.25, 0.25, 0.25, 0.25]",0.0,50.73643410852715,56.32558139534885,50.73643410852715,56.32558139534885,0,70,84,73,45,55,7450,0.004921959014609456,0.33527583300019614,0.10995637500309385,0.44523220800329
129,10,"[0.6615384615384615, 0.5538461538461539, 0.5538461538461539, 0.5538461538461539]","[0.25, 0.25, 0.25, 0.25]",0.0,51.338461538461544,57.223076923076924,51.338461538461544,57.223076923076924,0,71,86,74,44,55,7746,0.00501187500776723,0.32303154200781137,0.11280045798048377,0.43583199998829514
130,10,"[0.6641221374045801, 0.5572519083969466, 0.5572519083969466, 0.33587786259541985]","[0.25, 0.25, 0.25, 0.25]",11.694656488549619,57.44274809160306,57.44274809160306,45.74809160305344,45.74809160305344,23,86,86,45,45,85,6934,0.005226416978985071,0.435232084011659,0.03160375001607463,0.46683583402773365
131,10,"[0.553030303030303, 0.553030303030303, 0.553030303030303, 0.3333333333333333]","[0.25, 0.25, 0.25, 0.25]",14.15909090909091,64.59090909090908,64.59090909090908,50.43181818181817,50.43181818181817,30,116,116,16,16,115,7561,0.005130959005327895,0.502753707987722,0.0036646249936893582,0.5064183329814114
132,10,"[0.556390977443609, 0.556390977443609, 0.556390977443609, 0.22556390977443608]","[0.25, 0.25, 0.25, 0.25]",12.210526315789473,62.503759398496236,64.97744360902256,50.29323308270676,52.766917293233085,27,102,116,45,17,87,7386,0.005031458014855161,0.46155133299180306,0.038607541006058455,0.5001588739978615
133,10,"[0.5522388059701493, 0.5522388059701493, 0.5522388059701493, 0.3358208955223881]","[0.25, 0.25, 0.25, 0.25]",14.097014925373132,65.48507462686567,65.6044776119403,51.38805970149254,51.507462686567166,29,117,118,18,16,115,7763,0.005137083993759006,0.5262113749922719,0.005033916007960215,0.5312452910002321
134,10,"[0.6666666666666666, 0.6666666666666666, 0.5555555555555556, 0.5555555555555556]","[0.25, 0.25, 0.25, 0.25]",0.0,53.44444444444443,58.99259259259258,53.44444444444443,58.99259259259258,0,74,88,75,47,59,8023,0.005512750009074807,0.3690432500152383,0.11854779199347831,0.4875910420087166
135,10,"[0.7720588235294118, 0.7720588235294118, 0.6617647058823529, 0.6617647058823529]","[0.25, 0.25, 0.25, 0.25]",0.0,46.54411764705881,46.54411764705881,46.54411764705881,46.54411764705881,0,60,60,76,76,59,8143,0.005463959008920938,0.3612665830005426,0.10879854101222008,0.4700651240127627
136,10,"[0.6642335766423357, 0.6642335766423357, 0.5547445255474452, 0.5547445255474452]","[0.25, 0.25, 0.25, 0.25]",0.0,54.197080291970806,60.10948905109489,54.197080291970806,60.10948905109489,0,75,90,77,47,59,8315,0.005423583002993837,0.3669050000025891,0.12404416699428111,0.4909491669968702
137,10,"[0.6666666666666666, 0.6666666666666666, 0.5579710144927537, 0.5579710144927537]","[0.25, 0.25, 0.25, 0.25]",0.0,54.34782608695652,60.326086956521735,54.34782608695652,60.326086956521735,0,75,90,78,48,59,8395,0.005526875000214204,0.37225079198833555,0.12800683299428783,0.5002576249826234
138,10,"[0.5539568345323741, 0.5539568345323741, 0.5539568345323741, 0.22302158273381295]","[0.25, 0.25, 0.25, 0.25]",17.568345323741013,65.431654676259,68.02158273381296,47.86330935251799,50.45323741007195,35,107,122,47,17,91,7883,0.005941125011304393,0.5243269169877749,0.04411362498649396,0.5684405419742689
139,10,"[0.7714285714285715, 0.7714285714285715, 0.7714285714285715, 0.5571428571428572]","[0.25, 0.25, 0.25, 0.25]",0.0,47.49285714285715,48.050000000000004,47.49285714285715,48.050000000000004,0,61,62,80,78,59,8191,0.005575125018367544,0.39131791598629206,0.12865887500811368,0.5199767909944057
140,10,"[0.5531914893617021, 0.5531914893617021, 0.5531914893617021, 0.11347517730496454]","[0.25, 0.25, 0.25, 0.25]",12.297872340425531,69.0354609929077,69.0354609929077,56.737588652482174,56.737588652482174,28,124,124,17,17,123,8144,0.006324166984995827,0.6501705420087092,0.004496791982091963,0.6546673339908011
141,10,"[0.5563380281690141, 0.5563380281690141, 0.5563380281690141, 0.3380281690140845]","[0.25, 0.25, 0.25, 0.25]",20.323943661971825,69.4225352112676,69.4225352112676,49.098591549295776,49.098591549295776,38,124,124,18,18,123,8627,0.0062984579999465495,0.6511995840119198,0.005040084011852741,0.6562396680237725
142,10,"[0.6643356643356644, 0.6643356643356644, 0.6643356643356644, 0.5524475524475524]","[0.25, 0.25, 0.25, 0.25]",0.0,56.90209790209791,62.776223776223794,56.90209790209791,62.776223776223794,0,79,94,79,49,63,9275,0.006014875019900501,0.4309670000220649,0.1352592920011375,0.5662262920232024
143,10,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5555555555555556]","[0.25, 0.25, 0.25, 0.25]",0.0,57.05555555555556,62.99305555555556,57.05555555555556,62.99305555555556,0,79,94,80,50,63,9302,0.005907959013711661,0.43981520799570717,0.14023575000464916,0.5800509580003563
144,10,"[0.6620689655172414, 0.5517241379310345, 0.5517241379310345, 0.5517241379310345]","[0.25, 0.25, 0.25, 0.25]",0.0,57.655172413793096,63.88965517241379,57.655172413793096,63.88965517241379,0,80,96,81,49,63,9512,0.006366125016938895,0.44691400000010617,0.14673424998181872,0.5936482499819249
145,10,"[0.6643835616438356, 0.6643835616438356, 0.5547945205479452, 0.5547945205479452]","[0.25, 0.25, 0.25, 0.25]",0.0,57.8082191780822,64.10958904109592,57.8082191780822,64.10958904109592,0,80,96,82,50,63,9410,0.006872708006994799,0.46806345801451243,0.15339545800816268,0.6214589160226751
146,10,"[0.6666666666666666, 0.5578231292517006, 0.5578231292517006, 0.5578231292517006]","[0.25, 0.25, 0.25, 0.25]",0.0,57.9591836734694,64.32653061224491,57.9591836734694,64.32653061224491,0,80,96,83,51,63,9617,0.006096999975852668,0.4642426250211429,0.15478800001437776,0.6190306250355206
147,10,"[0.6621621621621622, 0.6621621621621622, 0.6621621621621622, 0.5540540540540541]","[0.25, 0.25, 0.25, 0.25]",0.0,58.56081081081081,65.22297297297297,58.56081081081081,65.22297297297297,0,81,98,84,50,63,9742,0.006449167005484924,0.461528958985582,0.16243862500414252,0.6239675839897245
148,10,"[0.6644295302013423, 0.6644295302013423, 0.6644295302013423, 0.5570469798657718]","[0.25, 0.25, 0.25, 0.25]",0.0,58.711409395973156,65.44295302013423,58.711409395973156,65.44295302013423,0,81,98,85,51,63,10006,0.006672500021522865,0.46909904197673313,0.16542079197824933,0.6345198339549825
149,10,"[0.5533333333333333, 0.5533333333333333, 0.5533333333333333, 0.22666666666666666]","[0.25, 0.25, 0.25, 0.25]",18.026666666666664,70.53333333333332,73.48,52.50666666666665,55.45333333333334,35,115,132,52,18,97,9301,0.007210333016701043,0.6669155839772429,0.05969724999158643,0.7266128339688294
150,10,"[0.6622516556291391, 0.6622516556291391, 0.5562913907284768, 0.5562913907284768]","[0.25, 0.25, 0.25, 0.25]",0.0,59.463576158940405,66.55629139072853,59.463576158940405,66.55629139072853,0,82,100,87,51,63,10079,0.006609292002394795,0.4893858330033254,0.17640500000561588,0.6657908330089413
151,10,"[0.6644736842105263, 0.6644736842105263, 0.6644736842105263, 0.5526315789473685]","[0.25, 0.25, 0.25, 0.25]",0.0,52.01315789473685,66.77631578947368,52.01315789473685,66.77631578947368,0,67,100,118,52,33,10771,0.006967292021727189,0.2884314999973867,0.3679737080237828,0.6564052080211695
152,10,"[0.7712418300653595, 0.7712418300653595, 0.7712418300653595, 0.5555555555555556]","[0.25, 0.25, 0.25, 0.25]",0.0,52.11111111111111,52.666666666666664,52.11111111111111,52.666666666666664,0,67,68,87,85,65,9881,0.007148167002014816,1.00252029200783,0.17456645800848491,1.177086750016315
153,10,"[0.7727272727272727, 0.7727272727272727, 0.7727272727272727, 0.551948051948052]","[0.25, 0.25, 0.25, 0.25]",0.0,52.76623376623376,52.76623376623376,52.76623376623376,52.76623376623376,0,68,68,86,86,67,10294,0.007207457994809374,0.605085708986735,0.16589787500561215,0.7709835839923471
154,10,"[0.5548387096774193, 0.5548387096774193, 0.5548387096774193, 0.33548387096774196]","[0.25, 0.25, 0.25, 0.25]",10.12258064516129,75.8967741935484,75.8967741935484,65.7741935483871,65.7741935483871,29,136,136,19,19,135,10443,0.007522125000832602,0.8761912499903701,0.006203083001310006,0.8823943329916801
155,10,"[0.7756410256410257, 0.7756410256410257, 0.6666666666666666, 0.5576923076923077]","[0.25, 0.25, 0.25, 0.25]",0.0,52.96153846153846,52.96153846153846,52.96153846153846,52.96153846153846,0,68,68,88,88,67,10050,0.007335375004913658,0.5772616670001298,0.1752692910085898,0.7525309580087196
156,10,"[0.554140127388535, 0.554140127388535, 0.554140127388535, 0.3375796178343949]","[0.25, 0.25, 0.25, 0.25]",20.834394904458602,76.78980891719745,76.9108280254777,55.95541401273884,56.07643312101909,43,137,138,21,19,135,10408,0.007916374976048246,0.8990280830184929,0.008033875026740134,0.907061958045233
157,10,"[0.6645569620253164, 0.6645569620253164, 0.6645569620253164, 0.5569620253164557]","[0.25, 0.25, 0.25, 0.25]",0.0,62.322784810126585,69.44303797468355,62.322784810126585,69.44303797468355,0,86,104,90,54,67,11511,0.008496207999996841,0.6059560829889961,0.2020290000073146,0.8079850829963107
158,10,"[0.6666666666666666, 0.6666666666666666, 0.5534591194968553, 0.5534591194968553]","[0.25, 0.25, 0.25, 0.25]",0.0,63.37106918238994,69.66037735849055,63.37106918238994,69.66037735849055,0,88,104,87,55,71,11177,0.00810616699163802,0.6407622910046484,0.1884471660014242,0.8292094570060726
159,10,"[0.6625, 0.6625, 0.6625, 0.55625]","[0.25, 0.25, 0.25, 0.25]",0.0,63.074999999999996,70.55625,63.074999999999996,70.55625,0,87,106,92,54,67,11827,0.00985387500259094,0.6284474999993108,0.21713808298227377,0.8455855829815846
160,10,"[0.6645962732919255, 0.5527950310559007, 0.5527950310559007, 0.5527950310559007]","[0.25, 0.25, 0.25, 0.25]",0.0,64.12422360248448,70.77639751552796,64.12422360248448,70.77639751552796,0,89,106,89,55,71,11822,0.007778708997648209,0.6625456250039861,0.20003991699195467,0.8625855419959407
161,10,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5555555555555556]","[0.25, 0.25, 0.25, 0.25]",0.0,64.27777777777777,70.99382716049382,64.27777777777777,70.99382716049382,0,89,106,90,56,71,12067,0.008354249992407858,0.681800791004207,0.2059305000002496,0.8877312910044566
162,10,"[0.7730061349693251, 0.7730061349693251, 0.7730061349693251, 0.5521472392638037]","[0.25, 0.25, 0.25, 0.25]",0.0,55.87730061349692,55.87730061349692,55.87730061349692,55.87730061349692,0,72,72,91,91,71,11349,0.008686000015586615,0.6872230420121923,0.19777166700805537,0.8849947090202477
