"run","kind","n","bins_count","time_alg1_s","time_alg2_s","time_alg4_s","q_base_groups","q_star_groups","utility_babble","utility_base","utility_star","kept_babble","kept_base","kept_star","bias_kind","bias_direction","low","high","jitter","seed","elapsed_s"
1,"babble",65,1,0.0,0.0,0.0,1,1,135.77272727272728,135.77272727272728,135.77272727272728,726,726,726,"random_multilevel","down",0.15,0.85,0.0,124,0.00023391697322949767
1,"binned",65,2,1.3166980352252722e-05,1.533300383016467e-05,7.179199019446969e-05,1,1,135.77272727272728,135.77272727272728,135.77272727272728,726,726,726,"random_multilevel","down",0.15,0.85,0.0,124,0.0004767499631270766
1,"binned",65,3,1.4915945939719677e-05,2.012500772252679e-05,0.00010912498692050576,2,2,135.77272727272728,408.6666666666667,408.6666666666667,726,700,700,"random_multilevel","down",0.15,0.85,0.0,124,0.0007543339743278921
1,"binned",65,5,1.9625003915280104e-05,2.741703065112233e-05,0.00016866601072251797,3,2,135.77272727272728,456.62121212121207,556.530303030303,726,795,1497,"random_multilevel","down",0.15,0.85,0.0,124,0.0010924589587375522
1,"binned",65,8,2.5583954993635416e-05,3.520800964906812e-05,0.00033020798582583666,5,3,135.77272727272728,384.469696969697,541.7575757575758,726,617,1171,"random_multilevel","down",0.15,0.85,0.0,124,0.001604249991942197
1,"binned",65,12,3.3958989661186934e-05,5.104194860905409e-05,0.0005577909760177135,7,4,135.77272727272728,384.469696969697,541.7575757575758,726,617,1171,"random_multilevel","down",0.15,0.85,0.0,124,0.002366499975323677
1,"binned",65,18,4.191597690805793e-05,7.645797450095415e-05,0.001001249998807907,10,4,135.77272727272728,384.469696969697,524.8484848484849,726,617,1446,"random_multilevel","down",0.15,0.85,0.0,124,0.0036047499743290246
1,"binned",65,27,5.500001134350896e-05,0.00013854203280061483,0.0025102500221692026,16,6,135.77272727272728,387.3939393939394,556.530303030303,726,620,1497,"random_multilevel","down",0.15,0.85,0.0,124,0.006433292001020163
1,"binned",65,41,7.562496466562152e-05,0.00021020800340920687,0.006270083016715944,25,9,135.77272727272728,302.6818181818182,556.530303030303,726,468,1497,"random_multilevel","down",0.15,0.85,0.0,124,0.013118834001943469
1,"binned",65,62,0.00010800000745803118,0.0005750000127591193,0.015447374957147986,38,13,135.77272727272728,286.25757575757575,556.530303030303,726,445,1497,"random_multilevel","down",0.15,0.85,0.0,124,0.029395291989203542
1,"binned",65,65,0.0001112080062739551,0.00043825001921504736,0.04068641702178866,58,14,135.77272727272728,272.3484848484849,556.530303030303,726,426,1497,"random_multilevel","down",0.15,0.85,0.0,124,0.0708197089843452
2,"babble",65,1,0.0,0.0,0.0,1,1,339.560606060606,339.560606060606,339.560606060606,1488,1488,1488,"random_multilevel","down",0.15,0.85,0.0,125,0.07113304198719561
2,"binned",65,2,1.5915953554213047e-05,1.4999997802078724e-05,6.824999582022429e-05,1,1,339.560606060606,339.560606060606,339.560606060606,1488,1488,1488,"random_multilevel","down",0.15,0.85,0.0,125,0.07134933397173882
2,"binned",65,3,1.4290970284491777e-05,1.9665982108563185e-05,0.00010745797771960497,2,1,339.560606060606,326.3939393939394,339.560606060606,1488,622,1488,"random_multilevel","down",0.15,0.85,0.0,125,0.07160758395912126
2,"binned",65,5,1.954101026058197e-05,2.7375004719942808e-05,0.00015766703290864825,3,2,339.560606060606,375.24242424242425,408.9848484848485,1488,645,1080,"random_multilevel","down",0.15,0.85,0.0,125,0.07192779198521748
2,"binned",65,8,2.4874985683709383e-05,4.237500252202153e-05,0.0003090000245720148,5,3,339.560606060606,329.75757575757575,443.8939393939394,1488,520,1076,"random_multilevel","down",0.15,0.85,0.0,125,0.07241608400363475
2,"binned",65,12,3.204098902642727e-05,5.204096669331193e-05,0.0008410830050706863,9,4,339.560606060606,239.530303030303,443.8939393939394,1488,358,1076,"random_multilevel","down",0.15,0.85,0.0,125,0.073457624996081
2,"binned",65,18,4.2249972466379404e-05,7.916695903986692e-05,0.0014223330072127283,12,5,339.560606060606,285.78787878787875,443.8939393939394,1488,437,1076,"random_multilevel","down",0.15,0.85,0.0,125,0.07511924998834729
2,"binned",65,27,5.299999611452222e-05,0.00011437502689659595,0.003605166042689234,19,9,339.560606060606,242.030303030303,446.8181818181818,1488,361,1079,"random_multilevel","down",0.15,0.85,0.0,125,0.07903662498574704
2,"binned",65,41,7.320800796151161e-05,0.00015300000086426735,0.01278154196916148,34,12,339.560606060606,194.42424242424244,444.8787878787879,1488,281,1077,"random_multilevel","down",0.15,0.85,0.0,125,0.09217545896535739
2,"binned",65,62,0.00010424997890368104,0.00013391702668741345,0.043258999998215586,60,19,339.560606060606,189.39393939393938,446.8181818181818,1488,272,1079,"random_multilevel","down",0.15,0.85,0.0,125,0.13586387498071417
2,"binned",65,65,0.00010733300587162375,0.0001355410204268992,0.04826900002080947,63,20,339.560606060606,189.39393939393938,446.8181818181818,1488,272,1079,"random_multilevel","down",0.15,0.85,0.0,125,0.18454479199135676
3,"babble",65,1,0.0,0.0,0.0,1,1,186.75757575757575,186.75757575757575,186.75757575757575,651,651,651,"random_multilevel","down",0.15,0.85,0.0,126,0.1848338749841787
3,"binned",65,2,1.18750031106174e-05,1.4583987649530172e-05,6.737496005371213e-05,1,1,186.75757575757575,186.75757575757575,186.75757575757575,651,651,651,"random_multilevel","down",0.15,0.85,0.0,126,0.18504137499257922
3,"binned",65,3,1.4499993994832039e-05,1.9583036191761494e-05,0.00010250002378597856,2,2,186.75757575757575,425.439393939394,425.439393939394,651,884,884,"random_multilevel","down",0.15,0.85,0.0,126,0.18528908398002386
3,"binned",65,5,1.9249971956014633e-05,2.6749970857053995e-05,0.00015300000086426735,3,3,186.75757575757575,426.37878787878793,426.37878787878793,651,749,749,"random_multilevel","down",0.15,0.85,0.0,126,0.1855983340064995
3,"binned",65,8,2.4374981876462698e-05,4.075001925230026e-05,0.00022087502293288708,4,3,186.75757575757575,401.939393939394,470.939393939394,651,757,1027,"random_multilevel","down",0.15,0.85,0.0,126,0.18599491700297222
3,"binned",65,12,3.1374976970255375e-05,4.9124995712190866e-05,0.0003985840012319386,6,4,186.75757575757575,382.7575757575758,470.939393939394,651,641,1027,"random_multilevel","down",0.15,0.85,0.0,126,0.18658720899838954
3,"binned",65,18,4.1207997128367424e-05,6.741698598489165e-05,0.0007895000162534416,9,6,186.75757575757575,382.7575757575758,470.939393939394,651,641,1027,"random_multilevel","down",0.15,0.85,0.0,126,0.18760162498801947
3,"binned",65,27,5.4916017688810825e-05,0.000145500001963228,0.0021498329588212073,15,10,186.75757575757575,384.69696969696975,472.8787878787879,651,643,1029,"random_multilevel","down",0.15,0.85,0.0,126,0.1900681249680929
3,"binned",65,41,7.358303992077708e-05,0.0002246660296805203,0.004593792022205889,22,14,186.75757575757575,382.7575757575758,470.939393939394,651,641,1027,"random_multilevel","down",0.15,0.85,0.0,126,0.19508049997966737
3,"binned",65,62,0.0001005409867502749,0.0003957909648306668,0.02082208398496732,44,22,186.75757575757575,200.6212121212121,472.8787878787879,651,308,1029,"random_multilevel","down",0.15,0.85,0.0,126,0.21653020899975672
3,"binned",65,65,0.00010637502418830991,0.00012700003571808338,0.04825295804766938,63,23,186.75757575757575,186.59090909090907,472.8787878787879,651,287,1029,"random_multilevel","down",0.15,0.85,0.0,126,0.26519216696033254
4,"babble",65,1,0.0,0.0,0.0,1,1,76.74242424242424,76.74242424242424,76.74242424242424,326,326,326,"random_multilevel","down",0.15,0.85,0.0,127,0.26546304195653647
4,"binned",65,2,1.195794902741909e-05,1.4416989870369434e-05,6.67079584673047e-05,1,1,76.74242424242424,76.74242424242424,76.74242424242424,326,326,326,"random_multilevel","down",0.15,0.85,0.0,127,0.26567299995804206
4,"binned",65,3,1.4208024367690086e-05,1.9415980204939842e-05,0.00010504201054573059,2,2,76.74242424242424,316.1060606060606,316.1060606060606,326,549,549,"random_multilevel","down",0.15,0.85,0.0,127,0.26592308399267495
4,"binned",65,5,1.9166036508977413e-05,2.6916037313640118e-05,0.00015470798825845122,3,3,76.74242424242424,364.04545454545456,364.04545454545456,326,662,662,"random_multilevel","down",0.15,0.85,0.0,127,0.2662359999958426
4,"binned",65,8,2.4582957848906517e-05,3.362499410286546e-05,0.0003081670147366822,5,3,76.74242424242424,380.7727272727273,387.6212121212121,326,639,839,"random_multilevel","down",0.15,0.85,0.0,127,0.2667269589728676
4,"binned",65,12,3.1291041523218155e-05,4.491599975153804e-05,0.0005170829826965928,7,4,76.74242424242424,380.7727272727273,387.6212121212121,326,639,839,"random_multilevel","down",0.15,0.85,0.0,127,0.2674337920034304
4,"binned",65,18,4.133401671424508e-05,8.73749959282577e-05,0.001201417006086558,11,6,76.74242424242424,362.2878787878788,395.71212121212125,326,615,848,"random_multilevel","down",0.15,0.85,0.0,127,0.2688769999658689
4,"binned",65,27,5.358399357646704e-05,0.0001342089963145554,0.0021370419999584556,15,14,76.74242424242424,410.2878787878788,428.7727272727273,326,711,735,"random_multilevel","down",0.15,0.85,0.0,127,0.27132120897294953
4,"binned",65,41,7.375003769993782e-05,0.00024262501392513514,0.005150083045009524,23,21,76.74242424242424,271.1060606060606,428.7727272727273,326,450,735,"random_multilevel","down",0.15,0.85,0.0,127,0.2769118339638226
4,"binned",65,62,0.00010079197818413377,0.00019412499386817217,0.041791166993789375,59,31,76.74242424242424,242.07575757575754,428.7727272727273,326,381,735,"random_multilevel","down",0.15,0.85,0.0,127,0.31913137499941513
4,"binned",65,65,0.00010716600809246302,0.00011029205052182078,0.05177349998848513,65,33,76.74242424242424,242.07575757575754,428.7727272727273,326,381,735,"random_multilevel","down",0.15,0.85,0.0,127,0.3713080839952454
5,"babble",65,1,0.0,0.0,0.0,1,1,273.77272727272725,273.77272727272725,273.77272727272725,680,680,680,"random_multilevel","down",0.15,0.85,0.0,128,0.3715927089797333
5,"binned",65,2,1.2249976862221956e-05,1.533300383016467e-05,6.691599264740944e-05,1,1,273.77272727272725,273.77272727272725,273.77272727272725,680,680,680,"random_multilevel","down",0.15,0.85,0.0,128,0.37180145899765193
5,"binned",65,3,1.4416000340133905e-05,1.9665982108563185e-05,0.00010274996748194098,2,2,273.77272727272725,556.6666666666666,556.6666666666666,680,1108,1108,"random_multilevel","down",0.15,0.85,0.0,128,0.37205216696020216
5,"binned",65,5,1.937500201165676e-05,2.7084024623036385e-05,0.0001593329943716526,3,2,273.77272727272725,470.7878787878788,511.96969696969705,680,878,1175,"random_multilevel","down",0.15,0.85,0.0,128,0.37237050000112504
5,"binned",65,8,2.4500011932104826e-05,3.8041966035962105e-05,0.0002193329855799675,4,4,273.77272727272725,513.7575757575758,513.7575757575758,680,990,990,"random_multilevel","down",0.15,0.85,0.0,128,0.37276558397570625
5,"binned",65,12,3.1584000680595636e-05,5.1250040996819735e-05,0.0004059160128235817,6,5,273.77272727272725,429.6969696969697,556.6666666666666,680,772,1108,"random_multilevel","down",0.15,0.85,0.0,128,0.3733697090065107
5,"binned",65,18,4.1040999349206686e-05,7.875001756474376e-05,0.0007961250375956297,9,6,273.77272727272725,382.24242424242425,603.8636363636364,680,664,1253,"random_multilevel","down",0.15,0.85,0.0,128,0.3744043339975178
5,"binned",65,27,5.366699770092964e-05,0.00014866702258586884,0.0021403339924290776,15,9,273.77272727272725,359.7272727272727,603.8636363636364,680,599,1253,"random_multilevel","down",0.15,0.85,0.0,128,0.376862709003035
5,"binned",65,41,7.316702976822853e-05,0.0002424169797450304,0.004586208029650152,22,15,273.77272727272725,359.7272727272727,604.8484848484849,680,599,1254,"random_multilevel","down",0.15,0.85,0.0,128,0.3818889170070179
5,"binned",65,62,0.00010016700252890587,0.00010204198770225048,0.04670950002036989,62,23,273.77272727272725,254.1969696969697,606.7878787878788,680,409,1256,"random_multilevel","down",0.15,0.85,0.0,128,0.4289331669569947
5,"binned",65,65,0.0001092919846996665,0.00012033298844471574,0.05199658399214968,65,24,273.77272727272725,254.1969696969697,606.7878787878788,680,409,1256,"random_multilevel","down",0.15,0.85,0.0,128,0.481331416987814
